2019-10-10 16:01:33.200 [restartedMain] WARN  org.thymeleaf.templatemode.TemplateMode - [THYMELEAF][restartedMain] Template Mode 'LEGACYHTML5' is deprecated. Using Template Mode 'HTML' instead.
2019-10-10 16:01:33.245 [restartedMain] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2019-10-10 16:01:33.440 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2019-10-10 16:01:34.413 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2019-10-10 16:01:34.428 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-4099"]
2019-10-10 16:01:34.432 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 4099 (http) with context path ''
2019-10-10 16:01:34.435 [restartedMain] INFO  com.example.demo.DemoApplication - Started DemoApplication in 4.244 seconds (JVM running for 6765.545)
2019-10-10 16:01:34.437 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2019-10-10 16:01:41.146 [Thread-1364] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2019-10-10 16:01:41.160 [Thread-1364] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-10-10 16:01:41.249 [Thread-1364] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-230} closed
2019-10-10 16:01:42.035 [Thread-1364] INFO  com.example.demo.config.filter.CustomFilter - filter  销毁~！！！
2019-10-10 16:01:43.028 [restartedMain] INFO  com.example.demo.DemoApplication - Starting DemoApplication on SST-OCHO with PID 60448 (C:\MrX\springbootDemo\first\mavenDemoForSpringBoot\target\classes started by yxie in C:\MrX\springbootDemo\first\mavenDemoForSpringBoot)
2019-10-10 16:01:43.029 [restartedMain] INFO  com.example.demo.DemoApplication - The following profiles are active: sst
2019-10-10 16:01:43.817 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-10-10 16:01:43.817 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-10-10 16:01:43.896 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 78ms. Found 0 repository interfaces.
2019-10-10 16:01:44.027 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$de1bceed] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-10 16:01:44.157 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 4099 (http)
2019-10-10 16:01:44.157 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-4099"]
2019-10-10 16:01:44.180 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-10-10 16:01:44.180 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-10-10 16:01:44.209 [restartedMain] INFO  o.a.c.c.ContainerBase.[Tomcat-11].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-10-10 16:01:44.210 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1178 ms
2019-10-10 16:01:44.243 [restartedMain] INFO  com.example.demo.config.filter.CustomFilter - filter 初始化！！！！
2019-10-10 16:01:44.816 [restartedMain] ERROR com.alibaba.druid.pool.DruidDataSource - testWhileIdle is true, validationQuery not set
2019-10-10 16:01:44.817 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-231} inited
2019-10-10 16:01:45.251 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
